PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex
1,0,3,22,1,0,7.25,1
2,1,1,38,1,0,71.2833,0
3,1,3,26,0,0,7.925,0
4,1,1,35,1,0,53.1,0
5,0,3,35,0,0,8.05,1
7,0,1,54,0,0,51.8625,1
8,0,3,2,3,1,21.075,1
9,1,3,27,0,2,11.1333,0
10,1,2,14,1,0,30.0708,0
11,1,3,4,1,1,16.7,0
12,1,1,58,0,0,26.55,0
13,0,3,20,0,0,8.05,1
14,0,3,39,1,5,31.275,1
15,0,3,14,0,0,7.8542,0
16,1,2,55,0,0,16,0
17,0,3,2,4,1,29.125,1
19,0,3,31,1,0,18,0
21,0,2,35,0,0,26,1
22,1,2,34,0,0,13,1
23,1,3,15,0,0,8.0292,0
24,1,1,28,0,0,35.5,1
25,0,3,8,3,1,21.075,0
26,1,3,38,1,5,31.3875,0
28,0,1,19,3,2,263,1
31,0,1,40,0,0,27.7208,1
34,0,2,66,0,0,10.5,1
35,0,1,28,1,0,82.1708,1
36,0,1,42,1,0,52,1
38,0,3,21,0,0,8.05,1
39,0,3,18,2,0,18,0
40,1,3,14,1,0,11.2417,0
41,0,3,40,1,0,9.475,0
42,0,2,27,1,0,21,0
44,1,2,3,1,2,41.5792,0
45,1,3,19,0,0,7.8792,0
50,0,3,18,1,0,17.8,0
51,0,3,7,4,1,39.6875,1
52,0,3,21,0,0,7.8,1
53,1,1,49,1,0,76.7292,0
54,1,2,29,1,0,26,0
55,0,1,65,0,1,61.9792,1
57,1,2,21,0,0,10.5,0
58,0,3,28.5,0,0,7.2292,1
59,1,2,5,1,2,27.75,0
60,0,3,11,5,2,46.9,1
61,0,3,22,0,0,7.2292,1
62,1,1,38,0,0,80,0
63,0,1,45,1,0,83.475,1
64,0,3,4,3,2,27.9,1
67,1,2,29,0,0,10.5,0
68,0,3,19,0,0,8.1583,1
69,1,3,17,4,2,7.925,0
70,0,3,26,2,0,8.6625,1
71,0,2,32,0,0,10.5,1
72,0,3,16,5,2,46.9,0
73,0,2,21,0,0,73.5,1
74,0,3,26,1,0,14.4542,1
75,1,3,32,0,0,56.4958,1
76,0,3,25,0,0,7.65,1
79,1,2,0.83,0,2,29,1
80,1,3,30,0,0,12.475,0
81,0,3,22,0,0,9,1
82,1,3,29,0,0,9.5,1
84,0,1,28,0,0,47.1,1
85,1,2,17,0,0,10.5,0
86,1,3,33,3,0,15.85,0
87,0,3,16,1,3,34.375,1
89,1,1,23,3,2,263,0
90,0,3,24,0,0,8.05,1
91,0,3,29,0,0,8.05,1
92,0,3,20,0,0,7.8542,1
93,0,1,46,1,0,61.175,1
94,0,3,26,1,2,20.575,1
95,0,3,59,0,0,7.25,1
97,0,1,71,0,0,34.6542,1
98,1,1,23,0,1,63.3583,1
99,1,2,34,0,1,23,0
100,0,2,34,1,0,26,1
101,0,3,28,0,0,7.8958,0
103,0,1,21,0,1,77.2875,1
104,0,3,33,0,0,8.6542,1
105,0,3,37,2,0,7.925,1
106,0,3,28,0,0,7.8958,1
107,1,3,21,0,0,7.65,0
109,0,3,38,0,0,7.8958,1
111,0,1,47,0,0,52,1
112,0,3,14.5,1,0,14.4542,0
113,0,3,22,0,0,8.05,1
114,0,3,20,1,0,9.825,0
115,0,3,17,0,0,14.4583,0
116,0,3,21,0,0,7.925,1
117,0,3,70.5,0,0,7.75,1
118,0,2,29,1,0,21,1
119,0,1,24,0,1,247.5208,1
120,0,3,2,4,2,31.275,0
121,0,2,21,2,0,73.5,1
123,0,2,32.5,1,0,30.0708,1
124,1,2,32.5,0,0,13,0
125,0,1,54,0,1,77.2875,1
126,1,3,12,1,0,11.2417,1
128,1,3,24,0,0,7.1417,1
130,0,3,45,0,0,6.975,1
131,0,3,33,0,0,7.8958,1
132,0,3,20,0,0,7.05,1
133,0,3,47,1,0,14.5,0
134,1,2,29,1,0,26,0
135,0,2,25,0,0,13,1
136,0,2,23,0,0,15.0458,1
137,1,1,19,0,2,26.2833,0
138,0,1,37,1,0,53.1,1
139,0,3,16,0,0,9.2167,1
140,0,1,24,0,0,79.2,1
142,1,3,22,0,0,7.75,0
143,1,3,24,1,0,15.85,0
144,0,3,19,0,0,6.75,1
145,0,2,18,0,0,11.5,1
146,0,2,19,1,1,36.75,1
147,1,3,27,0,0,7.7958,1
148,0,3,9,2,2,34.375,0
149,0,2,36.5,0,2,26,1
150,0,2,42,0,0,13,1
151,0,2,51,0,0,12.525,1
152,1,1,22,1,0,66.6,0
153,0,3,55.5,0,0,8.05,1
154,0,3,40.5,0,2,14.5,1
